[2025-03-09T09:12:18.497+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-03-09T09:12:18.538+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-08T01:00:00+00:00 [queued]>
[2025-03-09T09:12:18.552+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-08T01:00:00+00:00 [queued]>
[2025-03-09T09:12:18.553+0000] {taskinstance.py:2306} INFO - Starting attempt 3 of 3
[2025-03-09T09:12:18.566+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): collect_and_save_match_data_to_json_to_s3> on 2025-03-08 01:00:00+00:00
[2025-03-09T09:12:18.574+0000] {standard_task_runner.py:63} INFO - Started process 14788 to run task
[2025-03-09T09:12:18.578+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_nexon_data_sequential', 'collect_and_save_match_data_to_json_to_s3', 'scheduled__2025-03-08T01:00:00+00:00', '--job-id', '46', '--raw', '--subdir', 'DAGS_FOLDER/collect_match_info.py', '--cfg-path', '/tmp/tmpwa5jpe54']
[2025-03-09T09:12:18.581+0000] {standard_task_runner.py:91} INFO - Job 46: Subtask collect_and_save_match_data_to_json_to_s3
[2025-03-09T09:12:18.645+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-08T01:00:00+00:00 [running]> on host 40942f81e2c9
[2025-03-09T09:12:18.764+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='fetch_nexon_data_sequential' AIRFLOW_CTX_TASK_ID='collect_and_save_match_data_to_json_to_s3' AIRFLOW_CTX_EXECUTION_DATE='2025-03-08T01:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='3' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-08T01:00:00+00:00'
[2025-03-09T09:12:18.765+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-03-09T09:12:18.954+0000] {collect_match_info.py:127} INFO - Collecting 2025-03-08's data
[2025-03-09T09:12:19.319+0000] {collect_match_info.py:55} WARNING - 429 발생 - 1/5회 시도 중... 키 교체
[2025-03-09T09:12:19.320+0000] {collect_match_info.py:35} WARNING - 429 발생으로 API 키 교체...새로운 키: test_1a9576030c5be59d1af81f68f313cb62a733ad7a26ff4aed0fe3dafbec5feab5efe8d04e6d233bd35cf2fabdeb93fb0d
[2025-03-09T09:12:19.892+0000] {collect_match_info.py:55} WARNING - 429 발생 - 2/5회 시도 중... 키 교체
[2025-03-09T09:12:19.892+0000] {collect_match_info.py:35} WARNING - 429 발생으로 API 키 교체...새로운 키: test_5158b452e040b6f801cbae66cb00e98b9630d24495ce64667f793541e92fb1b9efe8d04e6d233bd35cf2fabdeb93fb0d
[2025-03-09T09:12:20.463+0000] {collect_match_info.py:55} WARNING - 429 발생 - 3/5회 시도 중... 키 교체
[2025-03-09T09:12:20.463+0000] {collect_match_info.py:35} WARNING - 429 발생으로 API 키 교체...새로운 키: test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d
[2025-03-09T09:12:21.321+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 1 / 1000...1번째 유저 처리중
[2025-03-09T09:12:22.184+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 2 / 1000...1번째 유저 처리중
[2025-03-09T09:12:22.783+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 3 / 1000...1번째 유저 처리중
[2025-03-09T09:12:23.503+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 4 / 1000...2번째 유저 처리중
[2025-03-09T09:12:24.305+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 5 / 1000...2번째 유저 처리중
[2025-03-09T09:12:24.907+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 6 / 1000...2번째 유저 처리중
[2025-03-09T09:12:25.654+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 7 / 1000...3번째 유저 처리중
[2025-03-09T09:12:26.500+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 8 / 1000...3번째 유저 처리중
[2025-03-09T09:12:27.094+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 9 / 1000...3번째 유저 처리중
[2025-03-09T09:12:27.849+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 10 / 1000...4번째 유저 처리중
[2025-03-09T09:12:28.691+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 11 / 1000...4번째 유저 처리중
[2025-03-09T09:12:29.279+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 12 / 1000...4번째 유저 처리중
[2025-03-09T09:12:30.014+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 13 / 1000...5번째 유저 처리중
[2025-03-09T09:12:30.833+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 14 / 1000...5번째 유저 처리중
[2025-03-09T09:12:31.431+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 15 / 1000...5번째 유저 처리중
[2025-03-09T09:12:32.150+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 16 / 1000...6번째 유저 처리중
[2025-03-09T09:12:32.902+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 17 / 1000...6번째 유저 처리중
[2025-03-09T09:12:33.496+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 18 / 1000...6번째 유저 처리중
[2025-03-09T09:12:34.220+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 19 / 1000...7번째 유저 처리중
[2025-03-09T09:12:35.033+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 20 / 1000...7번째 유저 처리중
[2025-03-09T09:12:35.625+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 21 / 1000...7번째 유저 처리중
[2025-03-09T09:12:36.345+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 22 / 1000...8번째 유저 처리중
[2025-03-09T09:12:37.141+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 23 / 1000...8번째 유저 처리중
[2025-03-09T09:12:37.738+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 24 / 1000...8번째 유저 처리중
[2025-03-09T09:12:38.454+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 25 / 1000...9번째 유저 처리중
[2025-03-09T09:12:39.875+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 26 / 1000...9번째 유저 처리중
[2025-03-09T09:12:40.436+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 27 / 1000...9번째 유저 처리중
[2025-03-09T09:12:41.160+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 28 / 1000...10번째 유저 처리중
[2025-03-09T09:12:41.979+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 29 / 1000...10번째 유저 처리중
[2025-03-09T09:12:42.541+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 30 / 1000...10번째 유저 처리중
