[2025-03-10T13:07:17.749+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-03-10T13:07:17.786+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-09T01:00:00+00:00 [queued]>
[2025-03-10T13:07:17.796+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-09T01:00:00+00:00 [queued]>
[2025-03-10T13:07:17.796+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-03-10T13:07:17.811+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): collect_and_save_match_data_to_json_to_s3> on 2025-03-09 01:00:00+00:00
[2025-03-10T13:07:17.818+0000] {standard_task_runner.py:63} INFO - Started process 1268 to run task
[2025-03-10T13:07:17.821+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_nexon_data_sequential', 'collect_and_save_match_data_to_json_to_s3', 'scheduled__2025-03-09T01:00:00+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/collect_match_info_dag.py', '--cfg-path', '/tmp/tmpl37_h7sp']
[2025-03-10T13:07:17.824+0000] {standard_task_runner.py:91} INFO - Job 5: Subtask collect_and_save_match_data_to_json_to_s3
[2025-03-10T13:07:18.062+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-09T01:00:00+00:00 [running]> on host a0d797a25898
[2025-03-10T13:07:18.167+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='fetch_nexon_data_sequential' AIRFLOW_CTX_TASK_ID='collect_and_save_match_data_to_json_to_s3' AIRFLOW_CTX_EXECUTION_DATE='2025-03-09T01:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-09T01:00:00+00:00'
[2025-03-10T13:07:18.168+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-03-10T13:07:18.181+0000] {collect_match_info_dag.py:126} INFO - Collecting 2025-03-09's data
[2025-03-10T13:07:19.371+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 1 / 1000...1번째 유저 처리중
[2025-03-10T13:07:20.239+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 2 / 1000...1번째 유저 처리중
[2025-03-10T13:07:20.855+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 3 / 1000...1번째 유저 처리중
[2025-03-10T13:07:21.611+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 4 / 1000...2번째 유저 처리중
[2025-03-10T13:07:22.501+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 5 / 1000...2번째 유저 처리중
[2025-03-10T13:07:23.100+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 6 / 1000...2번째 유저 처리중
[2025-03-10T13:07:23.630+0000] {collect_match_info_dag.py:61} WARNING - API 호출 실패 - status=400, url=https://open.api.nexon.com/fconline/v1/id?nickname=Prime%EB%A6%BC%EA%B4%91%EC%B2%A0
