[2025-03-11T07:02:55.092+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-03-11T07:02:55.134+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-10T07:00:00+00:00 [queued]>
[2025-03-11T07:02:55.148+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-10T07:00:00+00:00 [queued]>
[2025-03-11T07:02:55.149+0000] {taskinstance.py:2306} INFO - Starting attempt 2 of 3
[2025-03-11T07:02:55.312+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): collect_and_save_match_data_to_json_to_s3> on 2025-03-10 07:00:00+00:00
[2025-03-11T07:02:55.321+0000] {standard_task_runner.py:63} INFO - Started process 13313 to run task
[2025-03-11T07:02:55.325+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_nexon_data_sequential', 'collect_and_save_match_data_to_json_to_s3', 'scheduled__2025-03-10T07:00:00+00:00', '--job-id', '56', '--raw', '--subdir', 'DAGS_FOLDER/collect_match_info_dag.py', '--cfg-path', '/tmp/tmpn97_eze0']
[2025-03-11T07:02:55.329+0000] {standard_task_runner.py:91} INFO - Job 56: Subtask collect_and_save_match_data_to_json_to_s3
[2025-03-11T07:02:55.404+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-10T07:00:00+00:00 [running]> on host a0d797a25898
[2025-03-11T07:02:55.524+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='fetch_nexon_data_sequential' AIRFLOW_CTX_TASK_ID='collect_and_save_match_data_to_json_to_s3' AIRFLOW_CTX_EXECUTION_DATE='2025-03-10T07:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-10T07:00:00+00:00'
[2025-03-11T07:02:55.526+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-03-11T07:02:55.538+0000] {collect_match_info_dag.py:126} INFO - Collecting 2025-03-11's data
[2025-03-11T07:02:56.228+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 1 / 1000...1번째 유저 처리중
[2025-03-11T07:02:57.097+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 2 / 1000...1번째 유저 처리중
[2025-03-11T07:02:57.705+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 3 / 1000...1번째 유저 처리중
[2025-03-11T07:02:58.489+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 4 / 1000...2번째 유저 처리중
[2025-03-11T07:02:59.318+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 5 / 1000...2번째 유저 처리중
[2025-03-11T07:02:59.917+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 6 / 1000...2번째 유저 처리중
[2025-03-11T07:03:00.684+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 7 / 1000...3번째 유저 처리중
[2025-03-11T07:03:01.587+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 8 / 1000...3번째 유저 처리중
[2025-03-11T07:03:02.214+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 9 / 1000...3번째 유저 처리중
[2025-03-11T07:03:02.982+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 10 / 1000...4번째 유저 처리중
[2025-03-11T07:03:03.821+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 11 / 1000...4번째 유저 처리중
[2025-03-11T07:03:04.433+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 12 / 1000...4번째 유저 처리중
[2025-03-11T07:03:05.189+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 13 / 1000...5번째 유저 처리중
[2025-03-11T07:03:06.050+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 14 / 1000...5번째 유저 처리중
[2025-03-11T07:03:06.664+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 15 / 1000...5번째 유저 처리중
[2025-03-11T07:03:07.423+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 16 / 1000...6번째 유저 처리중
[2025-03-11T07:03:08.347+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 17 / 1000...6번째 유저 처리중
[2025-03-11T07:03:08.953+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 18 / 1000...6번째 유저 처리중
[2025-03-11T07:03:09.730+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 19 / 1000...7번째 유저 처리중
[2025-03-11T07:03:10.579+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 20 / 1000...7번째 유저 처리중
[2025-03-11T07:03:11.190+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 21 / 1000...7번째 유저 처리중
[2025-03-11T07:03:11.961+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 22 / 1000...8번째 유저 처리중
[2025-03-11T07:03:13.567+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 23 / 1000...8번째 유저 처리중
[2025-03-11T07:03:14.158+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 24 / 1000...8번째 유저 처리중
[2025-03-11T07:03:14.939+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 25 / 1000...9번째 유저 처리중
[2025-03-11T07:03:16.114+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 26 / 1000...9번째 유저 처리중
[2025-03-11T07:03:16.724+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 27 / 1000...9번째 유저 처리중
[2025-03-11T07:03:17.492+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 28 / 1000...10번째 유저 처리중
[2025-03-11T07:03:18.610+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 29 / 1000...10번째 유저 처리중
[2025-03-11T07:03:19.205+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 30 / 1000...10번째 유저 처리중
[2025-03-11T07:03:19.952+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 31 / 1000...11번째 유저 처리중
[2025-03-11T07:03:20.792+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 32 / 1000...11번째 유저 처리중
[2025-03-11T07:03:21.399+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 33 / 1000...11번째 유저 처리중
[2025-03-11T07:03:22.093+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 34 / 1000...12번째 유저 처리중
[2025-03-11T07:03:22.964+0000] {collect_match_info_dag.py:50} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 35 / 1000...12번째 유저 처리중
