[2025-03-13T01:40:02.030+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-03-13T01:40:02.074+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-12T01:40:00+00:00 [queued]>
[2025-03-13T01:40:02.089+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-12T01:40:00+00:00 [queued]>
[2025-03-13T01:40:02.089+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-03-13T01:40:02.259+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): collect_and_save_match_data_to_json_to_s3> on 2025-03-12 01:40:00+00:00
[2025-03-13T01:40:02.267+0000] {standard_task_runner.py:63} INFO - Started process 6030 to run task
[2025-03-13T01:40:02.271+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_nexon_data_sequential', 'collect_and_save_match_data_to_json_to_s3', 'scheduled__2025-03-12T01:40:00+00:00', '--job-id', '107', '--raw', '--subdir', 'DAGS_FOLDER/collect_match_info_dag.py', '--cfg-path', '/tmp/tmp3di6i1mu']
[2025-03-13T01:40:02.274+0000] {standard_task_runner.py:91} INFO - Job 107: Subtask collect_and_save_match_data_to_json_to_s3
[2025-03-13T01:40:02.339+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-12T01:40:00+00:00 [running]> on host a0d797a25898
[2025-03-13T01:40:02.456+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='fetch_nexon_data_sequential' AIRFLOW_CTX_TASK_ID='collect_and_save_match_data_to_json_to_s3' AIRFLOW_CTX_EXECUTION_DATE='2025-03-12T01:40:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-03-12T01:40:00+00:00'
[2025-03-13T01:40:02.457+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-03-13T01:40:02.472+0000] {collect_match_info_dag.py:146} INFO - Collecting 2025-03-13's data
[2025-03-13T01:40:03.730+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 1 / 1000...1번째 유저 처리중
[2025-03-13T01:40:04.577+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 2 / 1000...1번째 유저 처리중
[2025-03-13T01:40:05.174+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 3 / 1000...1번째 유저 처리중
[2025-03-13T01:40:05.929+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 4 / 1000...2번째 유저 처리중
[2025-03-13T01:40:06.787+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 5 / 1000...2번째 유저 처리중
[2025-03-13T01:40:07.390+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 6 / 1000...2번째 유저 처리중
[2025-03-13T01:40:08.158+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 7 / 1000...3번째 유저 처리중
